Username,Review,Media,Rating,Date
J***r,"Kualitas bagus banget, service seller ke customer jg bagus. udh coba fullwear beberapa hari ini di kisaran 5-7x cruts kombinasi baju dan kulit.  buat wanginya di opening...",https://assets.tokopedia.net/assets-tokopedia-lite/v2/zeus/kratos/85cc883d.svg,5,Lebih dari 1 tahun lalu
Firdhani,"Kemasan rapih, top quality. Top nya tercium sangat dominan, wangi sexy cocok untuk pria-pria di awal dewasa.",https://assets.tokopedia.net/assets-tokopedia-lite/v2/zeus/kratos/85cc883d.svg,5,9 bulan lalu
Bentang,"Repurchase sunset in sumba, karena yang 1.0 sudah habis 1 botol. Wangi ga beda jauh, woody and spicy, cuma berasa beda tipis di 1st note nya aja.  Setelah coba 2 batch, p...",https://assets.tokopedia.net/assets-tokopedia-lite/v2/zeus/kratos/85cc883d.svg,5,9 bulan lalu
Faza,Baru pertama kali nyobain parfum yg menurut gua ga murah harganya. Tapi dari wangi dan kualitas produk ga murahan! 👌🔥,https://assets.tokopedia.net/assets-tokopedia-lite/v2/zeus/kratos/85cc883d.svg,5,Lebih dari 1 tahun lalu
Agus,Pembelian kedua setelah The Great Batavia. Pesanan sesuai dan sampai dengan selamat tanpa ada defect. Packaging nya pun feel nya mewah dan built quality dari produknya sa...,https://assets.tokopedia.net/assets-tokopedia-lite/v2/zeus/kratos/85cc883d.svg,5,Lebih dari 1 tahun lalu
P***a,Udah beberapa lama lagi into parfum lokal karena satu dan lain hal. So far udah 3 merk parfum lokal yg dicoba (and it still counting). untungnya semua blind buy dan cocok...,"https://assets.tokopedia.net/assets-tokopedia-lite/v2/zeus/kratos/85cc883d.svg, https://assets.tokopedia.net/assets-tokopedia-lite/v2/zeus/kratos/85cc883d.svg",5,Lebih dari 1 tahun lalu
F***h,"wanginya enak terutama pas setelah 30menit. Udah pake setengah lalu botol sempet bermasalah spraynya, coba confirm ke tim project1945, mashaallah justru diganti parfum ba...",https://assets.tokopedia.net/assets-tokopedia-lite/v2/zeus/kratos/85cc883d.svg,5,Lebih dari 1 tahun lalu
W***m,"Box Parfumnya keren, plus kartu diskon untuk next transaksi. Barang Aman, SAFETY sampai ke tujuan.   Untuk SPL menurut hidung gw sih Moderate to low..Yah, untuk parfum de...",https://assets.tokopedia.net/assets-tokopedia-lite/v2/zeus/kratos/85cc883d.svg,5,Lebih dari 1 tahun lalu
Andri,"Best blind buy bgt ini.. dr awal emang mau cb produk dr 1945 cm msh tarik ulur.. pas tau sumba reformulated lgsg beli ga pake mikir, dpt harga sale + gopay coin jd cm bay...",https://assets.tokopedia.net/assets-tokopedia-lite/v2/zeus/kratos/85cc883d.svg,5,10 bulan lalu
Andika,Wanginya enak banget! Packaging juga sangat premium utk harga segitu mantap,https://assets.tokopedia.net/assets-tokopedia-lite/v2/zeus/kratos/85cc883d.svg,5,Lebih dari 1 tahun lalu
